CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
10/10/2022,20:10:00,01,1085 N BALTIMORE ST,SHOOTING,HANDS,712,NORTHEASTERN,Harlem Park,-76.524733,39.403999,HOUSE,1
10/27/2020,16:18:00,01,2744 N BALTIMORE ST,HOMICIDE,FIREARM,407,CENTRAL,Homeland,-76.573085,39.409529,ALLEY,1
7/7/2021,19:32:00,06,5713 N BALTIMORE ST,BURGLARY,NONE,379,WESTERN,Guilford,-76.526222,39.494907,HOUSE,1
6/1/2023,22:08:00,01,7907 N BALTIMORE ST,LARCENY,FIREARM,788,EASTERN,Brooklyn,-76.547939,39.366737,STORE,1
2/26/2023,20:41:00,02,8925 N BALTIMORE ST,LARCENY,NONE,788,EASTERN,Charles Village,-76.562975,39.491612,STORE,1
7/6/2021,22:00:00,02,7680 N BALTIMORE ST,AUTO THEFT,KNIFE,555,WESTERN,Homeland,-76.597191,39.422943,HOUSE,1
4/3/2021,19:40:00,05,3723 N BALTIMORE ST,COMMON ASSAULT,NONE,471,CENTRAL,Eastwood,-76.588961,39.347851,ALLEY,1
2/28/2022,08:36:00,09,8193 N BALTIMORE ST,ASSAULT,KNIFE,775,NORTHWESTERN,Sandtown-Winchester,-76.378356,39.401653,ALLEY,1
12/3/2020,04:16:00,04,8670 N BALTIMORE ST,BURGLARY,KNIFE,794,WESTERN,Upton,-76.593065,39.490943,HOUSE,1
1/14/2022,20:43:00,01,5392 N BALTIMORE ST,AGG. ASSAULT,NONE,380,WESTERN,Eastwood,-76.563485,39.355489,STORE,1
12/8/2019,01:17:00,07,8823 N BALTIMORE ST,SHOOTING,HANDS,105,WESTERN,Pimlico,-76.482442,39.300412,STREET,1
2/8/2022,06:10:00,06,5192 N BALTIMORE ST,ROBBERY,FIREARM,128,NORTHWESTERN,Guilford,-76.45601,39.442418,HOUSE,1
2/16/2020,07:21:00,01,5565 N BALTIMORE ST,HOMICIDE,KNIFE,174,SOUTHERN,Homeland,-76.367275,39.38587,STREET,1
2/3/2023,01:58:00,01,6283 N BALTIMORE ST,AUTO THEFT,FIREARM,230,EASTERN,Clifton Park,-76.581399,39.440716,STREET,1
2/4/2022,21:03:00,09,955 N BALTIMORE ST,BURGLARY,NONE,511,WESTERN,Westport,-76.571251,39.425589,ALLEY,1
1/15/2023,12:29:00,07,1759 N BALTIMORE ST,AUTO THEFT,FIREARM,564,WESTERN,Mount Washington,-76.444836,39.376344,STREET,1
12/3/2023,18:50:00,04,9491 N BALTIMORE ST,ASSAULT,HANDS,463,NORTHEASTERN,Druid Heights,-76.473698,39.417387,STORE,1
1/2/2020,04:19:00,07,8507 N BALTIMORE ST,AUTO THEFT,HANDS,697,NORTHWESTERN,Cherry Hill,-76.334433,39.432649,ALLEY,1
6/10/2023,11:00:00,09,9708 N BALTIMORE ST,ASSAULT,FIREARM,343,SOUTHERN,Oliver,-76.447868,39.450552,STREET,1
4/21/2020,06:50:00,02,5695 N BALTIMORE ST,COMMON ASSAULT,NONE,811,SOUTHERN,Greenmount West,-76.392448,39.340221,HOUSE,1
6/20/2023,09:26:00,06,2758 N BALTIMORE ST,ROBBERY,NONE,143,WESTERN,Mount Washington,-76.451221,39.475986,ALLEY,1
10/7/2022,07:30:00,06,6258 N BALTIMORE ST,COMMON ASSAULT,NONE,288,NORTHWESTERN,Pen Lucy,-76.352175,39.202018,STREET,1
9/4/2019,04:18:00,08,3285 N BALTIMORE ST,AUTO THEFT,FIREARM,130,SOUTHERN,Upton,-76.540263,39.28523,ALLEY,1
6/28/2020,17:15:00,03,3311 N BALTIMORE ST,LARCENY,KNIFE,368,SOUTHERN,Roland Park,-76.326805,39.206298,ALLEY,1
6/7/2019,09:29:00,04,6156 N BALTIMORE ST,AUTO THEFT,KNIFE,639,CENTRAL,Govans,-76.306869,39.499308,STORE,1
2/5/2019,04:50:00,04,3240 N BALTIMORE ST,HOMICIDE,NONE,811,CENTRAL,Roland Park,-76.487723,39.379865,ALLEY,1
10/7/2023,17:18:00,03,5468 N BALTIMORE ST,COMMON ASSAULT,FIREARM,744,NORTHEASTERN,Hampden,-76.361316,39.461855,STORE,1
8/26/2019,21:39:00,02,2843 N BALTIMORE ST,HOMICIDE,NONE,869,CENTRAL,Brooklyn,-76.335273,39.425341,HOUSE,1
3/11/2022,22:23:00,09,8018 N BALTIMORE ST,SHOOTING,NONE,374,WESTERN,Oliver,-76.425644,39.391432,STREET,1
8/28/2020,07:25:00,04,5113 N BALTIMORE ST,AGG. ASSAULT,NONE,685,NORTHWESTERN,Brooklyn,-76.552837,39.452729,HOUSE,1
2/10/2020,14:33:00,06,3871 N BALTIMORE ST,LARCENY,NONE,624,NORTHEASTERN,Berea,-76.413662,39.327831,STORE,1
8/11/2021,08:24:00,01,3042 N BALTIMORE ST,SHOOTING,KNIFE,371,EASTERN,Greenmount West,-76.406394,39.307728,STREET,1
9/18/2023,20:05:00,05,3831 N BALTIMORE ST,ROBBERY,FIREARM,173,NORTHERN,Westport,-76.491929,39.363808,HOUSE,1
5/10/2021,23:52:00,05,3223 N BALTIMORE ST,ASSAULT,HANDS,108,CENTRAL,Brooklyn,-76.368977,39.284554,HOUSE,1
10/25/2022,20:00:00,08,8499 N BALTIMORE ST,ASSAULT,NONE,333,EASTERN,Waverly,-76.531922,39.424741,STORE,1
9/25/2023,14:46:00,08,5681 N BALTIMORE ST,ROBBERY,HANDS,292,WESTERN,Curtis Bay,-76.471362,39.482579,STORE,1
9/1/2022,11:08:00,03,5106 N BALTIMORE ST,LARCENY,NONE,774,EASTERN,Brooklyn,-76.34971,39.301947,STORE,1
12/18/2022,09:20:00,01,9399 N BALTIMORE ST,LARCENY,KNIFE,257,CENTRAL,Greenmount West,-76.306827,39.498277,STORE,1
2/18/2022,12:12:00,08,1879 N BALTIMORE ST,AUTO THEFT,NONE,754,NORTHWESTERN,Govans,-76.331577,39.227972,STREET,1
1/27/2020,22:38:00,08,539 N BALTIMORE ST,ASSAULT,KNIFE,171,WESTERN,Eastwood,-76.326596,39.315768,ALLEY,1
2/15/2023,01:23:00,09,280 N BALTIMORE ST,ASSAULT,HANDS,520,SOUTHERN,Curtis Bay,-76.482668,39.496879,ALLEY,1
12/3/2022,12:57:00,04,2228 N BALTIMORE ST,COMMON ASSAULT,HANDS,542,EASTERN,Berea,-76.354631,39.399438,ALLEY,1
10/7/2021,16:45:00,08,4612 N BALTIMORE ST,COMMON ASSAULT,FIREARM,246,WESTERN,Irvington,-76.466281,39.447375,ALLEY,1
8/15/2023,14:36:00,01,1592 N BALTIMORE ST,BURGLARY,NONE,455,SOUTHERN,Middle East,-76.389905,39.413494,HOUSE,1
7/8/2020,05:57:00,07,7601 N BALTIMORE ST,AGG. ASSAULT,KNIFE,815,WESTERN,Govans,-76.429415,39.318065,STREET,1
5/21/2020,17:18:00,02,3659 N BALTIMORE ST,SHOOTING,NONE,880,NORTHERN,Curtis Bay,-76.434153,39.498595,STREET,1
6/14/2023,14:10:00,05,3497 N BALTIMORE ST,HOMICIDE,FIREARM,573,NORTHEASTERN,Charles Village,-76.591985,39.39166,STORE,1
4/13/2022,01:00:00,05,1978 N BALTIMORE ST,ASSAULT,HANDS,786,SOUTHERN,Govans,-76.375397,39.345428,STREET,1
12/15/2020,04:30:00,05,2743 N BALTIMORE ST,ASSAULT,FIREARM,721,WESTERN,Upton,-76.569845,39.288243,STORE,1
11/9/2019,04:28:00,06,3015 N BALTIMORE ST,COMMON ASSAULT,FIREARM,791,NORTHEASTERN,Cherry Hill,-76.44031,39.332617,STREET,1
11/22/2023,22:42:00,02,6499 N BALTIMORE ST,BURGLARY,NONE,153,CENTRAL,Homeland,-76.420538,39.214599,STORE,1
6/8/2020,06:05:00,01,7008 N BALTIMORE ST,LARCENY,FIREARM,445,NORTHWESTERN,Charles Village,-76.353842,39.403988,STREET,1
12/6/2020,01:26:00,09,1864 N BALTIMORE ST,AUTO THEFT,HANDS,675,NORTHEASTERN,Curtis Bay,-76.411964,39.387402,STORE,1
4/4/2020,11:20:00,03,345 N BALTIMORE ST,AGG. ASSAULT,HANDS,112,NORTHEASTERN,Greenmount West,-76.483244,39.337633,STREET,1
11/20/2021,11:02:00,02,3680 N BALTIMORE ST,AGG. ASSAULT,HANDS,885,NORTHERN,Eastwood,-76.420339,39.494931,STREET,1
3/9/2023,03:38:00,06,6466 N BALTIMORE ST,ASSAULT,HANDS,279,WESTERN,Pen Lucy,-76.409394,39.46519,HOUSE,1
2/11/2022,00:38:00,08,6364 N BALTIMORE ST,HOMICIDE,KNIFE,615,CENTRAL,Mount Washington,-76.423759,39.496514,ALLEY,1
5/8/2019,23:27:00,04,1400 N BALTIMORE ST,LARCENY,KNIFE,483,WESTERN,Sandtown-Winchester,-76.450382,39.260604,STORE,1
4/24/2019,19:28:00,06,2299 N BALTIMORE ST,BURGLARY,HANDS,759,CENTRAL,Brooklyn,-76.363909,39.211882,STORE,1
1/8/2021,23:21:00,06,4069 N BALTIMORE ST,COMMON ASSAULT,FIREARM,780,NORTHERN,Clifton Park,-76.303487,39.440436,ALLEY,1
9/11/2022,05:28:00,01,1158 N BALTIMORE ST,SHOOTING,FIREARM,297,NORTHERN,Irvington,-76.584368,39.497604,ALLEY,1
10/18/2020,06:15:00,09,1380 N BALTIMORE ST,AGG. ASSAULT,NONE,418,NORTHEASTERN,Belair-Edison,-76.550752,39.259261,STORE,1
5/10/2020,18:28:00,04,4554 N BALTIMORE ST,SHOOTING,FIREARM,468,WESTERN,Cherry Hill,-76.480527,39.25033,STORE,1
12/14/2023,04:52:00,08,424 N BALTIMORE ST,AGG. ASSAULT,NONE,185,WESTERN,Greenmount West,-76.372343,39.47646,ALLEY,1
5/13/2020,14:19:00,08,4740 N BALTIMORE ST,AGG. ASSAULT,NONE,173,CENTRAL,Berea,-76.50003,39.414459,ALLEY,1
1/28/2019,16:46:00,06,8151 N BALTIMORE ST,AGG. ASSAULT,NONE,504,NORTHWESTERN,Belair-Edison,-76.308852,39.311943,STORE,1
2/14/2023,01:58:00,02,6404 N BALTIMORE ST,ASSAULT,KNIFE,881,CENTRAL,Westport,-76.469111,39.276578,HOUSE,1
11/23/2022,11:44:00,01,6413 N BALTIMORE ST,AGG. ASSAULT,KNIFE,348,CENTRAL,Middle East,-76.456682,39.476441,HOUSE,1
12/22/2019,20:09:00,05,7562 N BALTIMORE ST,ASSAULT,HANDS,353,CENTRAL,Clifton Park,-76.419355,39.485533,ALLEY,1
11/23/2019,12:25:00,02,8595 N BALTIMORE ST,COMMON ASSAULT,NONE,269,NORTHEASTERN,Sandtown-Winchester,-76.351075,39.275861,HOUSE,1
10/10/2022,23:26:00,02,1890 N BALTIMORE ST,AUTO THEFT,KNIFE,375,WESTERN,Middle East,-76.375381,39.479005,STORE,1
3/27/2019,15:00:00,02,1244 N BALTIMORE ST,AGG. ASSAULT,NONE,770,SOUTHERN,Pen Lucy,-76.513498,39.329285,ALLEY,1
4/16/2020,05:32:00,02,7483 N BALTIMORE ST,COMMON ASSAULT,KNIFE,305,NORTHWESTERN,Pimlico,-76.582305,39.254819,ALLEY,1
8/21/2022,19:06:00,03,1407 N BALTIMORE ST,BURGLARY,FIREARM,486,NORTHERN,Pigtown,-76.562596,39.219279,STREET,1
8/22/2022,03:00:00,01,4459 N BALTIMORE ST,LARCENY,FIREARM,199,NORTHWESTERN,Morrell Park,-76.536679,39.437536,STORE,1
8/16/2021,10:38:00,07,5614 N BALTIMORE ST,AUTO THEFT,HANDS,422,WESTERN,Irvington,-76.354946,39.482297,STORE,1
6/28/2019,10:51:00,02,150 N BALTIMORE ST,SHOOTING,NONE,842,WESTERN,Govans,-76.349374,39.477511,STREET,1
5/23/2023,07:23:00,08,7885 N BALTIMORE ST,HOMICIDE,NONE,776,NORTHEASTERN,Irvington,-76.54362,39.495854,HOUSE,1
1/26/2021,23:20:00,08,3926 N BALTIMORE ST,SHOOTING,NONE,856,CENTRAL,Sandtown-Winchester,-76.416222,39.224411,STORE,1
12/13/2019,09:38:00,04,2445 N BALTIMORE ST,HOMICIDE,FIREARM,230,EASTERN,Hampden,-76.450622,39.226127,STORE,1
8/22/2019,17:15:00,04,3567 N BALTIMORE ST,ASSAULT,FIREARM,208,EASTERN,Cherry Hill,-76.469532,39.41473,ALLEY,1
5/8/2022,23:16:00,08,2116 N BALTIMORE ST,ASSAULT,NONE,192,SOUTHERN,Hampden,-76.361338,39.29984,ALLEY,1
2/21/2023,10:24:00,07,9306 N BALTIMORE ST,AGG. ASSAULT,KNIFE,328,WESTERN,Hampden,-76.522272,39.287293,STREET,1
4/24/2023,03:36:00,06,2187 N BALTIMORE ST,AUTO THEFT,NONE,690,SOUTHERN,Upton,-76.378925,39.29324,ALLEY,1
6/25/2022,11:51:00,03,8615 N BALTIMORE ST,COMMON ASSAULT,FIREARM,504,EASTERN,Mount Washington,-76.597243,39.455709,HOUSE,1
4/16/2021,21:29:00,03,9954 N BALTIMORE ST,BURGLARY,KNIFE,864,NORTHERN,Belair-Edison,-76.400395,39.440388,STREET,1
9/23/2021,03:17:00,08,3634 N BALTIMORE ST,SHOOTING,HANDS,821,SOUTHERN,Irvington,-76.310051,39.217644,HOUSE,1
12/26/2020,07:44:00,01,3033 N BALTIMORE ST,SHOOTING,NONE,406,NORTHERN,Belair-Edison,-76.304683,39.397775,ALLEY,1
6/14/2022,21:30:00,06,6512 N BALTIMORE ST,AGG. ASSAULT,FIREARM,640,WESTERN,Sandtown-Winchester,-76.381974,39.284709,ALLEY,1
7/4/2023,04:20:00,01,5081 N BALTIMORE ST,SHOOTING,KNIFE,691,NORTHERN,Pen Lucy,-76.558732,39.408787,HOUSE,1
4/26/2020,23:12:00,01,6034 N BALTIMORE ST,ROBBERY,KNIFE,485,NORTHWESTERN,Roland Park,-76.314881,39.328133,ALLEY,1
6/16/2019,05:03:00,02,8544 N BALTIMORE ST,AUTO THEFT,NONE,252,NORTHEASTERN,Hampden,-76.411908,39.321198,STREET,1
8/10/2022,22:38:00,03,6250 N BALTIMORE ST,ROBBERY,NONE,765,NORTHWESTERN,Druid Heights,-76.48537,39.3897,STORE,1
2/3/2019,03:31:00,09,3785 N BALTIMORE ST,LARCENY,NONE,380,NORTHEASTERN,Pimlico,-76.391882,39.228366,ALLEY,1
5/19/2022,04:06:00,06,1140 N BALTIMORE ST,HOMICIDE,KNIFE,515,EASTERN,Govans,-76.35614,39.205924,STORE,1
9/23/2023,20:07:00,04,2022 N BALTIMORE ST,ASSAULT,KNIFE,105,WESTERN,Upton,-76.433583,39.440154,STREET,1
4/21/2023,05:05:00,09,4306 N BALTIMORE ST,LARCENY,FIREARM,227,NORTHWESTERN,Harlem Park,-76.448156,39.309068,ALLEY,1
4/10/2019,01:33:00,05,8850 N BALTIMORE ST,SHOOTING,KNIFE,690,CENTRAL,Greenmount West,-76.452867,39.293881,HOUSE,1
4/23/2023,03:42:00,01,3984 N BALTIMORE ST,LARCENY,KNIFE,245,WESTERN,Irvington,-76.510087,39.449788,ALLEY,1
10/12/2020,08:08:00,07,1318 N BALTIMORE ST,HOMICIDE,HANDS,366,WESTERN,Irvington,-76.485465,39.471098,STORE,1
11/14/2021,22:09:00,09,3438 N BALTIMORE ST,ROBBERY,HANDS,748,NORTHEASTERN,Johnston Square,-76.390959,39.257788,HOUSE,1
10/6/2023,13:52:00,03,5283 N BALTIMORE ST,AGG. ASSAULT,NONE,126,CENTRAL,Morrell Park,-76.310795,39.274249,HOUSE,1
11/18/2019,13:04:00,06,1557 N BALTIMORE ST,AUTO THEFT,HANDS,896,WESTERN,Druid Heights,-76.518024,39.460657,ALLEY,1
7/8/2019,12:06:00,02,2979 N BALTIMORE ST,HOMICIDE,HANDS,702,NORTHEASTERN,Pigtown,-76.353597,39.346886,HOUSE,1
9/9/2021,19:06:00,01,2897 N BALTIMORE ST,AUTO THEFT,NONE,285,WESTERN,Pen Lucy,-76.496448,39.422389,STORE,1
5/1/2020,21:32:00,03,2170 N BALTIMORE ST,ASSAULT,NONE,681,WESTERN,Oliver,-76.379373,39.215859,HOUSE,1
11/20/2020,13:45:00,08,3099 N BALTIMORE ST,SHOOTING,HANDS,579,NORTHERN,Pen Lucy,-76.449331,39.282747,STORE,1
5/21/2020,02:19:00,07,5223 N BALTIMORE ST,ROBBERY,FIREARM,178,CENTRAL,Middle East,-76.381014,39.48346,ALLEY,1
12/10/2019,17:59:00,08,275 N BALTIMORE ST,AGG. ASSAULT,KNIFE,591,NORTHEASTERN,Morrell Park,-76.450658,39.405537,STREET,1
4/27/2023,23:00:00,07,8854 N BALTIMORE ST,AUTO THEFT,KNIFE,856,NORTHEASTERN,Govans,-76.401648,39.476138,STREET,1
11/25/2020,16:57:00,04,2964 N BALTIMORE ST,ROBBERY,HANDS,236,EASTERN,Irvington,-76.445895,39.485745,STORE,1
6/4/2020,10:58:00,04,8932 N BALTIMORE ST,ROBBERY,HANDS,406,EASTERN,Oliver,-76.455063,39.279425,STREET,1
7/7/2023,09:59:00,09,680 N BALTIMORE ST,SHOOTING,NONE,158,CENTRAL,Guilford,-76.493277,39.384659,HOUSE,1
1/12/2019,23:11:00,07,5908 N BALTIMORE ST,LARCENY,FIREARM,541,SOUTHERN,Westport,-76.452386,39.225423,ALLEY,1
1/5/2022,21:16:00,04,7811 N BALTIMORE ST,AGG. ASSAULT,HANDS,406,NORTHEASTERN,Greenmount West,-76.490651,39.467658,HOUSE,1
3/5/2022,11:47:00,07,195 N BALTIMORE ST,AUTO THEFT,KNIFE,213,EASTERN,Druid Heights,-76.54313,39.212077,STORE,1
1/6/2021,21:12:00,08,4454 N BALTIMORE ST,ROBBERY,NONE,600,CENTRAL,Greenmount West,-76.434963,39.439946,ALLEY,1
9/24/2022,23:53:00,07,2253 N BALTIMORE ST,ROBBERY,FIREARM,121,NORTHERN,Park Heights,-76.562163,39.303236,STREET,1
1/22/2020,10:27:00,01,7216 N BALTIMORE ST,SHOOTING,HANDS,388,CENTRAL,Charles Village,-76.454221,39.42827,ALLEY,1
3/8/2023,08:49:00,02,4417 N BALTIMORE ST,COMMON ASSAULT,NONE,303,NORTHWESTERN,Irvington,-76.457832,39.434815,STREET,1
10/6/2023,06:54:00,03,3858 N BALTIMORE ST,ROBBERY,KNIFE,510,CENTRAL,Pen Lucy,-76.58849,39.49712,ALLEY,1
4/3/2023,01:24:00,07,8701 N BALTIMORE ST,BURGLARY,KNIFE,327,NORTHEASTERN,Greenmount West,-76.499147,39.343759,STORE,1
2/9/2021,11:17:00,06,6949 N BALTIMORE ST,COMMON ASSAULT,HANDS,148,NORTHEASTERN,Clifton Park,-76.545475,39.200161,HOUSE,1
5/20/2022,03:27:00,03,4233 N BALTIMORE ST,SHOOTING,HANDS,442,SOUTHERN,Brooklyn,-76.508693,39.229066,STREET,1
6/12/2020,23:51:00,06,9748 N BALTIMORE ST,HOMICIDE,HANDS,343,WESTERN,Eastwood,-76.404925,39.26301,STORE,1
11/24/2020,19:07:00,01,9710 N BALTIMORE ST,COMMON ASSAULT,KNIFE,821,NORTHEASTERN,Upton,-76.466269,39.229591,HOUSE,1
4/18/2022,23:09:00,01,2194 N BALTIMORE ST,COMMON ASSAULT,NONE,663,CENTRAL,Westport,-76.386519,39.467476,HOUSE,1
11/23/2022,03:58:00,07,1209 N BALTIMORE ST,SHOOTING,NONE,636,SOUTHERN,Roland Park,-76.3206,39.351161,STREET,1
12/5/2021,09:02:00,01,3216 N BALTIMORE ST,AGG. ASSAULT,NONE,801,WESTERN,Cherry Hill,-76.440259,39.354046,STREET,1
7/18/2023,12:25:00,05,3490 N BALTIMORE ST,ASSAULT,FIREARM,263,EASTERN,Cherry Hill,-76.428431,39.377634,STREET,1
8/17/2023,22:46:00,09,4340 N BALTIMORE ST,BURGLARY,KNIFE,403,NORTHERN,Roland Park,-76.387524,39.365645,ALLEY,1
4/10/2023,01:40:00,03,4650 N BALTIMORE ST,ASSAULT,HANDS,152,NORTHEASTERN,Curtis Bay,-76.407276,39.274702,ALLEY,1
11/12/2019,20:38:00,06,5417 N BALTIMORE ST,ROBBERY,HANDS,839,NORTHEASTERN,Berea,-76.559917,39.469501,HOUSE,1
6/8/2019,23:17:00,03,4294 N BALTIMORE ST,LARCENY,FIREARM,839,NORTHEASTERN,Park Heights,-76.376269,39.314594,HOUSE,1
9/7/2023,14:14:00,06,4503 N BALTIMORE ST,COMMON ASSAULT,NONE,259,CENTRAL,Mount Washington,-76.466183,39.418944,STORE,1
2/16/2022,05:29:00,03,2985 N BALTIMORE ST,COMMON ASSAULT,NONE,846,NORTHWESTERN,Pimlico,-76.545878,39.284613,HOUSE,1
11/20/2022,06:04:00,03,1280 N BALTIMORE ST,AGG. ASSAULT,KNIFE,565,NORTHWESTERN,Cherry Hill,-76.327261,39.491116,STREET,1
12/25/2020,00:38:00,02,6291 N BALTIMORE ST,AGG. ASSAULT,FIREARM,212,WESTERN,Guilford,-76.352031,39.429034,STREET,1
5/5/2019,20:38:00,01,253 N BALTIMORE ST,ROBBERY,HANDS,824,NORTHWESTERN,Belair-Edison,-76.57451,39.241769,STORE,1
6/16/2021,04:15:00,01,9005 N BALTIMORE ST,BURGLARY,FIREARM,121,NORTHWESTERN,Homeland,-76.352523,39.230845,HOUSE,1
3/1/2022,07:01:00,04,7098 N BALTIMORE ST,AGG. ASSAULT,KNIFE,461,WESTERN,Druid Heights,-76.403391,39.267765,STORE,1
8/6/2019,03:14:00,02,4717 N BALTIMORE ST,AUTO THEFT,FIREARM,730,CENTRAL,Eastwood,-76.499883,39.308148,STREET,1
3/6/2023,13:33:00,06,9924 N BALTIMORE ST,ASSAULT,NONE,253,NORTHEASTERN,Roland Park,-76.332065,39.406148,HOUSE,1
8/22/2021,11:59:00,05,1351 N BALTIMORE ST,LARCENY,KNIFE,896,NORTHEASTERN,Pimlico,-76.403244,39.296077,STORE,1
2/4/2022,18:27:00,05,2470 N BALTIMORE ST,ROBBERY,HANDS,230,CENTRAL,Johnston Square,-76.545438,39.315505,HOUSE,1
12/14/2022,19:50:00,06,2364 N BALTIMORE ST,COMMON ASSAULT,NONE,528,EASTERN,Oliver,-76.435198,39.361624,STORE,1
7/3/2020,18:45:00,07,8733 N BALTIMORE ST,COMMON ASSAULT,FIREARM,340,WESTERN,Berea,-76.491487,39.260984,STREET,1
3/4/2022,01:58:00,06,6012 N BALTIMORE ST,ASSAULT,HANDS,571,WESTERN,Pimlico,-76.556758,39.455994,STORE,1
1/24/2020,04:07:00,03,6284 N BALTIMORE ST,LARCENY,NONE,480,NORTHWESTERN,Curtis Bay,-76.583775,39.231803,STREET,1
3/1/2023,04:23:00,03,1394 N BALTIMORE ST,COMMON ASSAULT,FIREARM,112,NORTHERN,Oliver,-76.429245,39.444113,ALLEY,1
12/5/2022,23:33:00,05,7803 N BALTIMORE ST,AGG. ASSAULT,HANDS,554,NORTHWESTERN,Charles Village,-76.365581,39.408574,HOUSE,1
11/2/2019,19:48:00,03,8345 N BALTIMORE ST,ASSAULT,FIREARM,505,NORTHWESTERN,Druid Heights,-76.350196,39.403971,STORE,1
10/17/2021,09:45:00,04,7041 N BALTIMORE ST,ASSAULT,HANDS,194,CENTRAL,Berea,-76.44355,39.493378,ALLEY,1
10/2/2022,07:25:00,03,9263 N BALTIMORE ST,ROBBERY,NONE,588,NORTHWESTERN,Guilford,-76.506043,39.392567,STORE,1
11/14/2021,06:17:00,02,1810 N BALTIMORE ST,ROBBERY,HANDS,717,NORTHEASTERN,Cherry Hill,-76.366361,39.300641,ALLEY,1
2/3/2023,06:38:00,01,5164 N BALTIMORE ST,COMMON ASSAULT,KNIFE,753,NORTHWESTERN,Westport,-76.321239,39.272101,STREET,1
10/26/2019,15:02:00,01,5254 N BALTIMORE ST,ROBBERY,HANDS,108,WESTERN,Morrell Park,-76.305838,39.425504,STORE,1
7/24/2021,11:08:00,02,5528 N BALTIMORE ST,AGG. ASSAULT,FIREARM,614,NORTHWESTERN,Middle East,-76.357752,39.245056,STORE,1
5/6/2019,04:43:00,08,1390 N BALTIMORE ST,ROBBERY,KNIFE,320,WESTERN,Oliver,-76.357757,39.396266,ALLEY,1
11/17/2023,10:28:00,03,5654 N BALTIMORE ST,BURGLARY,HANDS,738,WESTERN,Middle East,-76.343214,39.32927,STORE,1
10/3/2023,04:36:00,08,1695 N BALTIMORE ST,LARCENY,KNIFE,884,NORTHWESTERN,Curtis Bay,-76.338863,39.364141,STREET,1
6/6/2022,09:10:00,02,4689 N BALTIMORE ST,AUTO THEFT,HANDS,191,NORTHEASTERN,Oliver,-76.57866,39.413197,STORE,1
8/21/2021,04:07:00,08,748 N BALTIMORE ST,AUTO THEFT,HANDS,510,EASTERN,Pigtown,-76.47729,39.385905,ALLEY,1
10/11/2023,11:05:00,07,8389 N BALTIMORE ST,SHOOTING,HANDS,798,SOUTHERN,Johnston Square,-76.587197,39.493229,STREET,1
12/27/2020,17:00:00,03,1825 N BALTIMORE ST,BURGLARY,NONE,262,NORTHERN,Guilford,-76.42896,39.456149,ALLEY,1
11/3/2022,11:29:00,08,8867 N BALTIMORE ST,SHOOTING,FIREARM,187,NORTHERN,Govans,-76.545918,39.232504,STORE,1
7/11/2020,02:20:00,06,8067 N BALTIMORE ST,COMMON ASSAULT,NONE,217,EASTERN,Charles Village,-76.516487,39.211485,ALLEY,1
6/19/2020,01:38:00,07,1122 N BALTIMORE ST,AUTO THEFT,NONE,584,NORTHWESTERN,Oliver,-76.535974,39.263448,STREET,1
5/9/2022,20:11:00,02,2422 N BALTIMORE ST,ROBBERY,HANDS,514,CENTRAL,Charles Village,-76.575487,39.462133,STORE,1
4/22/2023,08:11:00,01,1614 N BALTIMORE ST,AGG. ASSAULT,HANDS,871,EASTERN,Mount Washington,-76.510929,39.259582,STORE,1
12/26/2023,05:44:00,07,5911 N BALTIMORE ST,AGG. ASSAULT,FIREARM,674,EASTERN,Oliver,-76.365078,39.379139,STREET,1
10/5/2023,10:42:00,06,332 N BALTIMORE ST,ASSAULT,NONE,251,CENTRAL,Guilford,-76.450166,39.294922,STORE,1
8/27/2019,04:40:00,08,9576 N BALTIMORE ST,ROBBERY,FIREARM,323,WESTERN,Pigtown,-76.376288,39.256297,ALLEY,1
6/7/2020,06:43:00,01,6166 N BALTIMORE ST,AUTO THEFT,FIREARM,409,EASTERN,Irvington,-76.331004,39.350626,STREET,1
7/14/2022,11:22:00,09,7077 N BALTIMORE ST,HOMICIDE,HANDS,216,EASTERN,Pen Lucy,-76.322095,39.337647,HOUSE,1
3/18/2023,13:24:00,05,7267 N BALTIMORE ST,BURGLARY,FIREARM,189,WESTERN,Cherry Hill,-76.358218,39.231144,STREET,1
8/24/2019,19:59:00,09,1733 N BALTIMORE ST,SHOOTING,FIREARM,783,EASTERN,Irvington,-76.513029,39.326192,ALLEY,1
7/4/2023,06:54:00,08,2138 N BALTIMORE ST,AUTO THEFT,NONE,522,EASTERN,Charles Village,-76.327602,39.393458,STORE,1
9/10/2020,08:56:00,05,5136 N BALTIMORE ST,AGG. ASSAULT,KNIFE,104,SOUTHERN,Sandtown-Winchester,-76.329944,39.324367,STREET,1
9/27/2021,23:38:00,06,5590 N BALTIMORE ST,ASSAULT,NONE,347,NORTHWESTERN,Sandtown-Winchester,-76.433278,39.317409,STORE,1
7/5/2023,20:24:00,03,6704 N BALTIMORE ST,AUTO THEFT,KNIFE,547,NORTHEASTERN,Homeland,-76.530709,39.413007,ALLEY,1
7/27/2023,20:58:00,05,9158 N BALTIMORE ST,ASSAULT,HANDS,308,NORTHEASTERN,Middle East,-76.572024,39.207692,STREET,1
